Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,24522.97,3490.68,58000.00,26,0,6,0,20,0,18,0,3,0.5991745671271329,144
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,793991.41,26033.42,223500.00,193,0,200,0,358,0,97,0,8,0.810459545865648,924
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,7513961.56,458651.66,776750.00,838,0,305,0,2436,0,327,0,24,0.6390658223251708,3552
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,16777.17,2287376.32,5389000.00,454,129,0,453,0,1235,0,392,47,0.8156169018548431,3216
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,1800060.00,850006.16,5826600.00,610,0,457,0,880,0,335,0,45,0.8555158648359874,3252
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,89491.93,2112187.37,5897600.00,493,99,0,397,0,955,0,345,47,0.8004099537125456,3204
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,29181.22,2506155.33,6948000.00,482,92,0,514,0,1301,0,374,47,0.8196408852999577,3540
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,23421.55,1587372.91,6486900.00,404,72,0,419,0,845,0,313,45,0.8427299080658754,3132
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,4792.81,2208688.46,6989400.00,267,242,0,479,0,855,0,329,43,0.8002909036745848,3216
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,20123680.22,0.00,0,2306,0,1277,0,4479,0,527,3,4.089172204953939,684
